Id,Predicted
4,2562.300627338104
6,2523.8671728624486
8,2593.9587101855236
9,2498.9857282334024
11,2522.315766278063
15,2542.453872613779
19,2461.51845355814
20,2507.739435613151
32,2482.5439587259984
33,2466.21773529473
40,2605.4436902624216
42,2464.0560057633515
46,2511.166683101465
50,2541.903392944365
57,2533.134138293064
59,2523.35290647093
66,2597.5893426215534
73,2533.9656942277393
78,2499.84524120113
91,2478.6756818415533
93,2604.75707624111
101,2429.4508935927165
102,2600.592407409993
106,2572.029810010305
111,2538.441474455466
113,2445.7300098094192
114,2557.8117373257455
118,2577.084922394242
119,2562.8401450354527
126,2554.9418068503983
127,2414.0356154333667
138,2436.874546227851
143,2515.491639412786
145,2552.6392069349763
148,2603.1293622299277
151,2526.084707647363
153,2584.036905517094
157,2603.5062055419553
159,2519.647506268641
165,2485.352019792137
170,2386.5625424252685
171,2516.7636893905096
173,2498.9857282334024
177,2549.736078699703
183,2505.691328588332
199,2599.226087828373
225,2540.4335499399413
231,2551.477829652897
232,2519.2083153866147
233,2459.6655651708325
238,2598.934862044851
244,2602.0218187797327
245,2522.678279264549
247,2500.5678325108083
248,2462.4764997963066
250,2477.229443040851
254,2557.254970863958
255,2603.1206752105436
256,2588.7560856393857
257,2529.7234967414497
258,2409.2180665246697
259,2543.886434016906
263,2521.0952730632166
266,2471.1783717945386
267,2467.96647484046
273,2587.453796758342
274,2559.7240169024844
276,2514.5278159483614
285,2591.9047971789814
286,2595.592610380902
288,2380.7382050193514
299,2562.801468146778
305,2558.498351347057
307,2559.734836810081
312,2605.6769344841837
314,2562.1148541254665
315,2518.957839312597
316,2606.265111476266
323,2609.566973208876
326,2542.529603134719
327,2498.9857282334024
329,2650.9906775796803
330,2554.524804514314
331,2516.2548369356186
333,2528.0773823076765
336,2584.9852440704453
337,2517.185520972342
338,2483.291993263436
340,2579.510487359292
344,2552.8348311767168
346,2552.583645711019
349,2498.9432031673623
350,2562.0135903194514
359,2526.4481531918013
361,2653.40972497481
363,2572.7103411078083
365,2561.851618789799
373,2405.266299110364
376,2604.8217513737727
382,2517.5554728524253
387,2503.2757129535285
388,2513.84120192705
392,2482.6074050457964
394,2461.7268131658743
399,2450.576964475276
406,2556.668199852035
408,2513.160213238628
419,2598.5046202356057
422,2598.5296936050095
425,2586.061018556411
427,2460.0510421882545
433,2579.9463437363356
442,2488.9996481321546
451,2506.393814483886
457,2520.8920566871316
458,2446.032690051199
459,2401.6003924712713
462,2403.5594220437574
472,2518.9934394440006
474,2504.6200326149797
487,2546.262337419926
491,2468.9035235371643
493,2606.2924021681993
494,2582.7130063827994
499,2470.7867287293097
502,2543.8614531407284
503,2543.090569577493
504,2468.3301941220334
508,2532.395677604954
513,2442.0670229818506
524,2620.4344154973824
525,2467.2309478654424
528,2596.9956582110663
531,2601.4652089370047
541,2606.3079804837434
551,2555.672398458988
553,2552.8272606348082
580,2448.1884302932094
583,2495.708137489795
586,2475.976588397008
587,2543.698600914928
598,2724.0762018044175
602,2466.774630293227
603,2447.2807597661504
605,2471.4249886610032
612,2549.756390228419
613,2433.029882575817
615,2558.195692065227
619,2471.337100868846
626,2447.4446449052098
632,2556.2600104755784
633,2570.7964055505986
638,2498.9857282334024
649,2464.076143594889
652,2501.8503923631793
657,2527.7643172475096
661,2599.401161405412
663,2489.753471865791
664,2576.161087868196
667,2498.4883207451
671,2409.777186500076
672,2478.990966029337
677,2495.0258232288934
678,2492.528482440753
685,2572.8534166604377
689,2509.1462010720034
697,2428.087205832353
699,2549.756390228419
700,2386.80599933455
702,2597.4973414226133
707,2446.415547248363
708,2553.8974420814416
710,2496.4773967055908
714,2473.7999451276414
720,2462.3431048024518
726,2467.4106728906627
727,2499.414313056175
728,2476.0748786438676
730,2593.3538273617323
731,2422.285029019324
732,2516.1455100294265
734,2464.2698221347314
738,2512.4534724676355
742,2457.190115371879
750,2558.9166215412974
751,2573.438569603392
752,2543.3633559899035
753,2487.5914004303077
765,2540.087346831369
766,2743.7912923462227
768,2562.801468146778
769,2524.482961918286
773,2518.2743098740816
775,2518.2534425364192
778,2434.677115672015
779,2415.368873279704
789,2414.038211785157
790,2532.4733699586554
794,2521.9664362928297
803,2498.9676118887446
809,2417.2545982548977
817,2437.860936240326
820,2456.109826040834
822,2409.8970253647535
833,2474.5519567888687
836,2584.8265323024534
837,2427.0259282788043
839,2498.9857282334024
840,2423.932538100071
842,2569.43928373519
845,2510.058029506929
853,2551.5176101735624
857,2570.960726416294
866,2517.997027925432
867,2555.536008806466
868,2474.045646035324
871,2513.6043970455316
877,2408.8169536585533
882,2607.6293310372757
885,2435.420582133772
887,2566.4380443165196
890,2508.341435094845
895,2470.0192173175874
896,2512.42732538214
905,2361.483228280544
912,2483.5731646136123
913,2509.281246608854
920,2604.6712278156224
928,2500.012428236515
932,2511.339149817853
938,2517.3836694179668
942,2521.3606578171384
953,2605.001470859812
954,2631.981055148745
955,2588.88166128587
958,2442.743920706356
960,2550.632882893281
972,2502.4720193665257
977,2701.8621047412357
984,2448.1442947719624
994,2478.8960790505057
995,2497.360347113058
1007,2516.1220701717316
1011,2554.3392285975565
1014,2431.2585533302063
1015,2524.6861628891356
1016,2539.350976452224
1021,2492.3069195277867
1028,2423.62111949235
1034,2682.5162127529843
1038,2411.883749088746
1044,2478.6294044416964
1046,2441.820164509689
1048,2457.839422114608
1049,2522.596010997844
1051,2480.0379864001916
1052,2546.0554435230533
1054,2498.9857282334024
1059,2545.284544848562
1060,2552.8858679311074
1068,2425.972201302485
1069,2469.7627343052177
1071,2405.640962642601
1077,2467.1554762811843
1082,2422.005349665282
1091,2570.576399722231
1094,2471.886409968015
1098,2546.892151410128
1105,2420.3183586229597
1109,2601.3639564199902
1112,2424.4983950823557
1115,2481.172677728122
1116,2511.6189105652493
1124,2530.1765466137686
1130,2602.3121028577116
1141,2568.8110245313856
1143,2598.4647198188945
1144,2498.9857282334024
1155,2594.9356118311835
1157,2598.56979512498
1158,2479.411170418075
1160,2518.408482744363
1161,2599.8082082722353
1167,2520.017965065001
1170,2519.3603135405374
1174,2720.878544650516
1178,2509.010697428619
1179,2518.6793837494884
1181,2568.047518323389
1184,2548.1253938641
1187,2425.449220564765
1190,2480.6888798654095
1191,2586.9839085353087
1194,2510.5700245463336
1196,2410.5429972614816
1198,2423.891719564358
1199,2427.896159987297
1201,2406.2737856895606
1205,2508.780449926921
1206,2446.6696303062904
1211,2547.4745034063553
1215,2644.9659942836124
1217,2532.1301646934066
1218,2458.5917991127603
1225,2458.1619970286424
1226,2437.256957492572
1229,2475.2385708101783
1231,2469.189549914485
1232,2542.3294347049236
1233,2566.4573393118235
1237,2459.61944628372
1240,2610.1928321859914
1246,2468.4861512061548
1247,2593.1462974532906
1249,2573.0624459173982
1262,2525.3991120878263
1274,2716.9307941846887
1275,2730.1981215329433
1279,2557.7069968603864
1281,2517.795290689416
1282,2591.393402073035
1289,2517.0915328894393
1290,2442.890400523635
1292,2471.3964885345363
1294,2488.430596592951
1297,2607.8228847198375
1298,2388.8212489822163
1302,2554.616752264675
1309,2501.226921474706
1313,2580.6123447466935
1316,2498.9857282334024
1317,2507.5858494540053
1321,2497.8043030755803
1325,2485.765650332705
1329,2450.423499200582
1332,2514.974151342767
1334,2555.907835043215
1335,2455.9925440596517
1337,2468.130940399286
1342,2550.6209239834725
1345,2547.5484390074635
1346,2600.842456798224
1347,2543.55455359052
1348,2517.9173403645755
1359,2538.0972734540164
1362,2538.981996914403
1364,2491.934132085265
1365,2459.534080977296
1367,2434.4967235100635
1368,2522.024583244362
1373,2387.6153266066635
1375,2522.009116670453
1377,2424.4836896103584
1381,2531.7090635836425
1384,2556.7419207697285
1386,2552.8365305779676
1387,2531.193109911504
1390,2543.8412359908043
1403,2583.059091216331
1404,2555.5945303638996
1408,2512.27863297204
1409,2403.702677943643
1413,2572.444071050229
1414,2509.995411874054
1415,2442.230121428081
1416,2503.0586279083077
1418,2499.2951698316433
1421,2437.149566703682
1422,2518.1692019088614
1430,2509.397756637905
1432,2505.2780725100397
1449,2496.0968523187357
1460,2531.043736922444
1461,2564.583976884746
1462,2580.3824276985397
1465,2498.9857282334024
1476,2530.2058045485583
1487,2535.452348823722
1491,2553.904706596532
1493,2568.8308684501103
1494,2569.713485801975
1502,2436.610253685832
1504,2404.4450013164496
1507,2563.432514146338
1521,2593.0713219150743
1523,2588.951637787209
1525,2554.189426248217
1528,2429.8835918343607
1529,2520.4540620802063
1532,2554.650746716121
1534,2571.869052911997
1539,2546.63798048403
1541,2466.21773529473
1565,2552.149854494259
1567,2565.047083423346
1570,2527.0592505879104
1573,2422.727908931457
1575,2494.704818624928
1580,2529.7318960125044
1583,2457.602821525244
1587,2539.6517649258735
1592,2468.4563072923515
1601,2482.2020784464985
1602,2545.365699814265
1605,2411.790426593181
1612,2480.100050102991
1615,2465.9509092695253
1622,2424.715380250204
1624,2423.5242151328425
1626,2597.9039045085046
1629,2399.697485204878
1632,2607.9225497607517
1635,2459.7904612174834
1637,2432.6819209618934
1642,2512.0984351132956
